initial,medial,nucleus,coda,tone,syllable
"","","ô","y","3","ôy_3"
"","","ô","y","4","ôy_4"
"","","ô","y","5","ôy_5"
"","","ô","y","6","ôy_6"
"","","u","","1","u_1"
"","","u","","2","u_2"
"","","u","","3","u_3"
"","","u","","4","u_4"
"","","u","","5","u_5"
"","","u","","6","u_6"
"","","u","c","1","uc_1"
"","","u","c","2","uc_2"
"","","u","c","3","uc_3"
"","","u","c","4","uc_4"
"","","u","c","5","uc_5"
"","","u","c","6","uc_6"
"","","u","ch","1","uch_1"
"","","u","ch","2","uch_2"
"","","u","ch","3","uch_3"
"","","u","ch","4","uch_4"
"","","u","ch","5","uch_5"
"","","u","ch","6","uch_6"
"","","u","i","1","ui_1"
"","","u","i","2","ui_2"
"","","u","i","3","ui_3"
"","","u","i","4","ui_4"
"","","u","i","5","ui_5"
"","","u","i","6","ui_6"
"","","u","m","1","um_1"
"","","u","m","2","um_2"
"","","u","m","3","um_3"
"","","u","m","4","um_4"
"","","u","m","5","um_5"
"","","u","m","6","um_6"
"","","u","n","1","un_1"
"","","u","n","2","un_2"
"","","u","n","3","un_3"
"","","u","n","4","un_4"
"","","u","n","5","un_5"
"","","u","n","6","un_6"
"","","u","ng","1","ung_1"
"","","u","ng","2","ung_2"
"","","u","ng","3","ung_3"
"","","u","ng","4","ung_4"
"","","u","ng","5","ung_5"
"","","u","ng","6","ung_6"
"","","u","nh","1","unh_1"
"","","u","nh","2","unh_2"
"","","u","nh","3","unh_3"
"","","u","nh","4","unh_4"
"","","u","nh","5","unh_5"
"","","u","nh","6","unh_6"
"","","u","o","1","uo_1"
"","","u","o","2","uo_2"
"","","u","o","3","uo_3"
"","","u","o","4","uo_4"
"","","u","o","5","uo_5"
"","","u","o","6","uo_6"
"","","u","p","1","up_1"
"","","u","p","2","up_2"
"","","u","p","3","up_3"
"","","u","p","4","up_4"
"","","u","p","5","up_5"
"","","u","p","6","up_6"
"","","u","t","1","ut_1"
"","","u","t","2","ut_2"
"","","u","t","3","ut_3"
"","","u","t","4","ut_4"
"","","u","t","5","ut_5"
"","","u","t","6","ut_6"
"","","u","u","1","uu_1"
"","","u","u","2","uu_2"
"","","u","u","3","uu_3"
"","","u","u","4","uu_4"
"","","u","u","5","uu_5"
"","","u","u","6","uu_6"
"","","u","y","1","uy_1"
"","","u","y","2","uy_2"
"","","u","y","3","uy_3"
"","","u","y","4","uy_4"
"","","u","y","5","uy_5"
"","","u","y","6","uy_6"
"","","ua","","1","ua_1"
"","","ua","","2","ua_2"
"","","ua","","3","ua_3"
"","","ua","","4","ua_4"
"","","ua","","5","ua_5"
"","","ua","","6","ua_6"
"","","ua","c","1","uac_1"
"","","ua","c","2","uac_2"
"","","ua","c","3","uac_3"
"","","ua","c","4","uac_4"
"","","ua","c","5","uac_5"
"","","ua","c","6","uac_6"
"","","ua","ch","1","uach_1"
"","","ua","ch","2","uach_2"
"","","ua","ch","3","uach_3"
"","","ua","ch","4","uach_4"
"","","ua","ch","5","uach_5"
"","","ua","ch","6","uach_6"
"","","ua","i","1","uai_1"
"","","ua","i","2","uai_2"
"","","ua","i","3","uai_3"
"","","ua","i","4","uai_4"
"","","ua","i","5","uai_5"
"","","ua","i","6","uai_6"
"","","ua","m","1","uam_1"
"","","ua","m","2","uam_2"
"","","ua","m","3","uam_3"
"","","ua","m","4","uam_4"
"","","ua","m","5","uam_5"
"","","ua","m","6","uam_6"
"","","ua","n","1","uan_1"
"","","ua","n","2","uan_2"
"","","ua","n","3","uan_3"
"","","ua","n","4","uan_4"
"","","ua","n","5","uan_5"
"","","ua","n","6","uan_6"
"","","ua","ng","1","uang_1"
"","","ua","ng","2","uang_2"
"","","ua","ng","3","uang_3"
"","","ua","ng","4","uang_4"
"","","ua","ng","5","uang_5"
"","","ua","ng","6","uang_6"
"","","ua","nh","1","uanh_1"
"","","ua","nh","2","uanh_2"
"","","ua","nh","3","uanh_3"
"","","ua","nh","4","uanh_4"
"","","ua","nh","5","uanh_5"
"","","ua","nh","6","uanh_6"
"","","ua","o","1","uao_1"
"","","ua","o","2","uao_2"
"","","ua","o","3","uao_3"
"","","ua","o","4","uao_4"
"","","ua","o","5","uao_5"
"","","ua","o","6","uao_6"
"","","ua","p","1","uap_1"
"","","ua","p","2","uap_2"
"","","ua","p","3","uap_3"
"","","ua","p","4","uap_4"
"","","ua","p","5","uap_5"
"","","ua","p","6","uap_6"
"","","ua","t","1","uat_1"
"","","ua","t","2","uat_2"
"","","ua","t","3","uat_3"
"","","ua","t","4","uat_4"
"","","ua","t","5","uat_5"
"","","ua","t","6","uat_6"
"","","ua","u","1","uau_1"
"","","ua","u","2","uau_2"
"","","ua","u","3","uau_3"
"","","ua","u","4","uau_4"
"","","ua","u","5","uau_5"
"","","ua","u","6","uau_6"
"","","ua","y","1","uay_1"
"","","ua","y","2","uay_2"
"","","ua","y","3","uay_3"
"","","ua","y","4","uay_4"
"","","ua","y","5","uay_5"
"","","ua","y","6","uay_6"
"","","uô","","1","uô_1"
"","","uô","","2","uô_2"
"","","uô","","3","uô_3"
"","","uô","","4","uô_4"
"","","uô","","5","uô_5"
"","","uô","","6","uô_6"
"","","uô","c","1","uôc_1"
"","","uô","c","2","uôc_2"
"","","uô","c","3","uôc_3"
"","","uô","c","4","uôc_4"
"","","uô","c","5","uôc_5"
"","","uô","c","6","uôc_6"
"","","uô","ch","1","uôch_1"
"","","uô","ch","2","uôch_2"
"","","uô","ch","3","uôch_3"
"","","uô","ch","4","uôch_4"
"","","uô","ch","5","uôch_5"
"","","uô","ch","6","uôch_6"
"","","uô","i","1","uôi_1"
"","","uô","i","2","uôi_2"
"","","uô","i","3","uôi_3"
"","","uô","i","4","uôi_4"
"","","uô","i","5","uôi_5"
"","","uô","i","6","uôi_6"
"","","uô","m","1","uôm_1"
"","","uô","m","2","uôm_2"
"","","uô","m","3","uôm_3"
"","","uô","m","4","uôm_4"
"","","uô","m","5","uôm_5"
"","","uô","m","6","uôm_6"
"","","uô","n","1","uôn_1"
"","","uô","n","2","uôn_2"
"","","uô","n","3","uôn_3"
"","","uô","n","4","uôn_4"
"","","uô","n","5","uôn_5"
"","","uô","n","6","uôn_6"
"","","uô","ng","1","uông_1"
"","","uô","ng","2","uông_2"
"","","uô","ng","3","uông_3"
"","","uô","ng","4","uông_4"
"","","uô","ng","5","uông_5"
"","","uô","ng","6","uông_6"
"","","uô","nh","1","uônh_1"
"","","uô","nh","2","uônh_2"
"","","uô","nh","3","uônh_3"
"","","uô","nh","4","uônh_4"
"","","uô","nh","5","uônh_5"
"","","uô","nh","6","uônh_6"
"","","uô","o","1","uôo_1"
"","","uô","o","2","uôo_2"
"","","uô","o","3","uôo_3"
"","","uô","o","4","uôo_4"
"","","uô","o","5","uôo_5"
"","","uô","o","6","uôo_6"
"","","uô","p","1","uôp_1"
"","","uô","p","2","uôp_2"
"","","uô","p","3","uôp_3"
"","","uô","p","4","uôp_4"
"","","uô","p","5","uôp_5"
"","","uô","p","6","uôp_6"
"","","uô","t","1","uôt_1"
"","","uô","t","2","uôt_2"
"","","uô","t","3","uôt_3"
"","","uô","t","4","uôt_4"
"","","uô","t","5","uôt_5"
"","","uô","t","6","uôt_6"
"","","uô","u","1","uôu_1"
"","","uô","u","2","uôu_2"
"","","uô","u","3","uôu_3"
"","","uô","u","4","uôu_4"
"","","uô","u","5","uôu_5"
"","","uô","u","6","uôu_6"
"","","uô","y","1","uôy_1"
"","","uô","y","2","uôy_2"
"","","uô","y","3","uôy_3"
"","","uô","y","4","uôy_4"
"","","uô","y","5","uôy_5"
"","","uô","y","6","uôy_6"
"","","y","","1","y_1"
"","","y","","2","y_2"
"","","y","","3","y_3"
"","","y","","4","y_4"
"","","y","","5","y_5"
"","","y","","6","y_6"
"","","y","c","1","yc_1"
"","","y","c","2","yc_2"
"","","y","c","3","yc_3"
"","","y","c","4","yc_4"
"","","y","c","5","yc_5"
"","","y","c","6","yc_6"
"","","y","ch","1","ych_1"
"","","y","ch","2","ych_2"
"","","y","ch","3","ych_3"
"","","y","ch","4","ych_4"
"","","y","ch","5","ych_5"
"","","y","ch","6","ych_6"
"","","y","i","1","yi_1"
"","","y","i","2","yi_2"
"","","y","i","3","yi_3"
"","","y","i","4","yi_4"
"","","y","i","5","yi_5"
"","","y","i","6","yi_6"
"","","y","m","1","ym_1"
"","","y","m","2","ym_2"
"","","y","m","3","ym_3"
